BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,STREET_NAME,FORMATTED_ADDRESS
Brrokered by Priyankara Kavirathna,House for sale,"127,356,298",5,5,"4,897.05","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by KP Agasthi Property,House for sale,"120,000,000",3,3,"4,200.00","Dehiwala, Colombo",Colombo,"Dehiwala, Colombo",Colombo,Dehiwala,,"Dehiwala, Colombo"
Brrokered by Priyankara Kavirathna,House for sale,"30,282,863",4,5,"3,504.53","Morakatiya, Colombo",Colombo,Morakatiya,Colombo,Morakatiya,,"Morakatiya, Colombo"
Brokered by Platinum Property & Construction,House for sale,"43,001,263",4,4,"2,289.59","Homagama, Colombo",Colombo,Homagama,Colombo,Homagama,,"Homagama, Colombo"
Brokered by Asantha Real Estate,House for sale,"238,929,251",4,5,"5,323.53","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by PEO Lands Real Estate,House for sale,"112,512,259",5,4,"5,040.84","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by Telemarketing Colombo,House for sale,"46,301,842",4,3,"4,289.73","Colombo 9, Colombo",Colombo,Colombo 9,Colombo,Colombo 9,,"Colombo 9, Colombo"
Brokered by Real Mart,House for sale,"97,098,046",4,4,"4,158.91","Kirulapona, Colombo",Colombo,Kirulapona,Colombo,Kirulapona,,"Kirulapona, Colombo"
Brokered by GoldMark Property Consultancy,House for sale,"30,510,688",5,3,"3,110.82","Piliyandala, Colombo",Colombo,Piliyandala,Colombo,Piliyandala,,"Piliyandala, Colombo"
Brokered by Propertydeal.lk,House for sale,"47,963,475",4,3,"2,710.66","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by AA Real Estate Agents,House for sale,"240,825,508",6,5,"7,605.46","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by Telemarketing Colombo,House for sale,"34,680,413",3,2,"1,428.63","Athurugiriya, Colombo",Colombo,Athurugiriya,Colombo,Athurugiriya,,"Athurugiriya, Colombo"
Brokered by SEV Real Estate,House for sale,"38,947,806",4,4,"2,091.75","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Telemarketing Colombo,House for sale,"111,806,748",5,3,"4,359.33","Kottawa, Colombo",Colombo,Kottawa,Colombo,Kottawa,,"Kottawa, Colombo"
Brokered by S Threads Property,House for sale,"22,056,496",3,4,"2,361.44","Maharagama, Colombo",Colombo,Maharagama,Colombo,Maharagama,,"Maharagama, Colombo"
Brokered by Sell Fast | AD Zone,Villa for sale,"86,501,365",4,5,"4,252.02","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by AA Real Estate Agents,House for sale,"12,741,025",2,1,"1,227.07","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
No broker,House for sale,"404,819,885",10,9,"9,019.70","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Infinity Properties,House for sale,"30,675,183",6,4,"3,759.07","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
Brokered by Ideal Marketing,House for sale,"81,264,603",6,5,"5,841.73","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"53,600,736",4,3,"4,067.46","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Wasana Homes and Lands,House for sale,"84,754,414",5,5,"3,713.99","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Ideal Marketing,House for sale,"83,264,139",1,1,"1,855.19","Pamankada, Colombo",Colombo,Pamankada,Colombo,Pamankada,,"Pamankada, Colombo"
Brokered by Colombo Property Holdings,House for sale,"37,077,793",4,4,"2,471.67","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by SEV Real Estate,House for sale,"404,819,885",10,9,"9,019.70","Dematagoda, Colombo",Colombo,Dematagoda,Colombo,Dematagoda,,"Dematagoda, Colombo"
Brokered by Dream Property,House for sale,"61,834,376",4,3,"3,757.46","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
No broker,House for sale,"147,358,908",4,4,"3,518.04","Kohuwala, Colombo",Colombo,Kohuwala,Colombo,Kohuwala,,"Kohuwala, Colombo"
Brokered by Prime Lands,House for sale,"16,888,294",3,2,"1,285.59","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Sooriya Land Sale,House for sale,"45,996,986",4,3,"2,437.54","Kaduwela, Colombo",Colombo,Kaduwela,Colombo,Kaduwela,,"Kaduwela, Colombo"
Brokered by Platinum Property & Construction,House for sale,"75,891,032",5,4,"2,416.16","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Priyankara Kavirathna,Villa for sale,"73,502,008",5,3,"3,212.21","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Asantha Real Estate,Villa for sale,"75,594,522",5,4,"2,936.51","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"30,592,390",5,5,"3,748.92","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by Sasiri Land Sale,House for sale,"41,670,641",4,4,"2,445.34","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by S Thedas Property,House for sale,"37,246,658",5,3,"2,155.11","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Dream Homes Real Estate Property,House for sale,"63,146,803",4,3,"2,802.22","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brrokered by Priyankara Kavirathna,House for sale,"12,866,236",2,1,"1,230.65","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Dream Property,House for sale,"81,765,408",4,4,"3,803.80","Maharagama, Colombo",Colombo,Maharagama,Colombo,Maharagama,,"Maharagama, Colombo"
Brokered by Infinity Properties,House for sale,"90,061,272",5,5,"4,109.22","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Lakshan Rent House,House for sale,"20,202,665",3,2,"1,626.75","Athurugiriya, Colombo",Colombo,Athurugiriya,Colombo,Athurugiriya,,"Athurugiriya, Colombo"
Brokered by Dream Property,House for sale,"108,958,308",5,5,"2,427.68","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brokered by Real Mart,House for sale,"24,146,813",6,4,"2,959.05","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brokered by ZamZam Properties Pvt Ltd,House for sale,"66,126,730",5,5,"3,528.22","Kothalawala, Colombo",Colombo,Kothalawala,Colombo,Kothalawala,,"Kothalawala, Colombo"
Brokered by Citadel Trading ,House for sale,"146,141,803",3,4,"3,858.44","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by Infinity Properties,House for sale,"201,690,107",6,4,"4,493.81","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by ZamZam Properties Pvt Ltd,House for sale,"33,902,016",2,2,"1,657.10","Colombo 9, Colombo",Colombo,Colombo 9,Colombo,Colombo 9,,"Colombo 9, Colombo"
Brokered by DJ Luxury Realty,House for sale,"125,536,090",5,5,"3,679.82","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Dilruwan Real Estate,House for sale,"13,891,578",3,2,"1,420.86","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brokered by Dream Consultant,House for sale,"75,460,080",5,4,"2,305.64","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"59,851,576",4,3,"2,782.75","Kirulapona, Colombo",Colombo,Kirulapona,Colombo,Kirulapona,,"Kirulapona, Colombo"
Brokered by Neththaru Property,House for sale,"48,183,562",4,3,"4,195.13","Malabe, Colombo",Colombo,Malabe,Colombo,Malabe,,"Malabe, Colombo"
Brokered by Sasiri Land sale,House for sale,"36,295,903",6,4,"4,447.85","Kaduwela, Colombo",Colombo,Kaduwela,Colombo,Kaduwela,,"Kaduwela, Colombo"
Brokered by Wasana Homes and Lands,House for sale,"127,004,341",6,5,"3,231.28","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Property Management Company,House for sale,"49,324,595",3,3,"1,940.77","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"21,544,978",4,2,"2,496.50","Pannipitiya, Colombo",Colombo,Pannipitiya,Colombo,Pannipitiya,,"Pannipitiya, Colombo"
Brokered by Propertydeal.lk,House for sale,"36,306,874",6,3,"4,449.20","Awissawella, Colombo",Colombo,Awissawella,Colombo,Awissawella,,"Awissawella, Colombo"
Brokered by Asantha Real Estate,Villa for sale,"73,508,943",4,3,"1,893.27","Colombo 9, Colombo",Colombo,Colombo 9,Colombo,Colombo 9,,"Colombo 9, Colombo"
Brokered by Sasiri Land Sale,House for sale,"26,971,322",2,2,"1,292.63","Makumbura, Colombo",Colombo,Makumbura,Colombo,Makumbura,,"Makumbura, Colombo"
Brokered by Mohammed Rizmi,House for sale,"124,170,307",5,4,"3,776.48","Maharagama, Colombo",Colombo,Maharagama,Colombo,Maharagama,,"Maharagama, Colombo"
Brokered by Daraa Salam Properties,House for sale,"34,621,199",5,3,"1,906.34","Kottawa, Colombo",Colombo,Kottawa,Colombo,Kottawa,,"Kottawa, Colombo"
Brrokered by Priyankara Kavirathna,House for sale,"98,702,215",4,6,"2,199.16","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brokered by SEV Real Estate,House for sale,"22,862,125",3,3,"1,627.04","Athurugiriya, Colombo",Colombo,Athurugiriya,Colombo,Athurugiriya,,"Athurugiriya, Colombo"
Brokered by Propertydeal.lk,House for sale,"60,114,186",3,3,"3,812.60","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Propertydeal.lk,House for sale,"29,667,409",3,2,"2,161.10","Polgasovita, Colombo",Colombo,Polgasovita,Colombo,Polgasovita,,"Polgasovita, Colombo"
Brokered by DJ Luxury Realty,House for sale,"37,696,657",5,3,"2,473.24","Makumbura, Colombo",Colombo,Makumbura,Colombo,Makumbura,,"Makumbura, Colombo"
Brokered by Sasiri Land Sale,House for sale,"32,474,498",1,1,"2,525.47","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
No broker,House for sale,"19,425,484",4,4,"1,498.75","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brokered by BR Property Agents Pvt Ltd,House for sale,"50,733,727",4,2,"3,844.66","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Dream Consultant,Villa for sale,"116,181,586",5,5,"4,712.23","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by Ideal Marketing,House for sale,"7,777,000",2,2,896,"Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Citadel Trading ,Villa for sale,"105,468,182",3,2,"4,147.41","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brokered by PEO Lands Real Estate,House for sale,"35,262,991",2,2,"1,672.34","Athurugiriya, Colombo",Colombo,Athurugiriya,Colombo,Athurugiriya,,"Athurugiriya, Colombo"
Brokered by Lakshan Rent House,House for sale,"89,176,105",8,6,"5,220.61","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by SEV Real Estate,House for sale,"84,707,735",8,6,"6,049.91","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by Wasana Homes and Lands,House for sale,"73,472,929",4,4,"2,416.84","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
Brokered by Dilruwan Real Estate,House for sale,"153,035,439",5,4,"3,409.75","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Property Management Company,House for sale,"134,397,282",5,4,"5,283.41","Nugegoda, Colombo",Colombo,Nugegoda,Colombo,Nugegoda,,"Nugegoda, Colombo"
Brokered by BR Property Agents Pvt Ltd,House for sale,"18,186,239",3,2,"1,315.92","Maththegoda, Colombo",Colombo,Maththegoda,Colombo,Maththegoda,,"Maththegoda, Colombo"
Brokered by Infinity Properties,House for sale,"14,286,896",3,2,"1,625.34","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brokered by Sithara Pavithra,Villa for sale,"41,394,724",3,3,"2,102.16","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Asitha Properties,House for sale,"37,619,622",4,3,"4,610.07","Awissawella, Colombo",Colombo,Awissawella,Colombo,Awissawella,,"Awissawella, Colombo"
Brokered by Dream Consultant,House for sale,"192,183,714",5,5,"5,100.78","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by BR Property Agents Pvt Ltd,House for sale,"61,024,429",4,4,"3,068.01","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Citadel Trading ,House for sale,"16,309,215",3,2,"1,998.60","Padukka, Colombo",Colombo,Padukka,Colombo,Padukka,,"Padukka, Colombo"
Brokered by Ideal Marketing,House for sale,"78,016,657",4,4,"1,917.04","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by PK Property Solutions,House for sale,"35,617,191",4,4,"4,364.68","Awissawella, Colombo",Colombo,Awissawella,Colombo,Awissawella,,"Awissawella, Colombo"
Brokered by Ideal Marketing,House for sale,"67,891,798",3,3,"2,664.46","Kirulapona, Colombo",Colombo,Kirulapona,Colombo,Kirulapona,,"Kirulapona, Colombo"
Brokered by AA Real Estate Agents,House for sale,"84,894,052",8,7,"4,942.17","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by Emil Realtors Pvt Ltd,House for sale,"56,757,834",4,3,"2,775.45","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brokered by Telemarketing Colombo,House for sale,"47,416,994",3,4,"1,056.49","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by Property Solutions,House for sale,"170,556,543",3,3,"4,066.07","Pamankada, Colombo",Colombo,Pamankada,Colombo,Pamankada,,"Pamankada, Colombo"
Brokered by Infinity Properties,House for sale,"47,141,141",5,3,"2,523.68","Kaduwela, Colombo",Colombo,Kaduwela,Colombo,Kaduwela,,"Kaduwela, Colombo"
Brokered by Mohammed Rizmi,House for sale,"404,819,885",10,10,"9,019.70","Dematagoda, Colombo",Colombo,Dematagoda,Colombo,Dematagoda,,"Dematagoda, Colombo"
Brokered by Sooriya Land Sale,House for sale,"71,169,009",3,3,"2,966.00","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brokered by PEO Lands Real Estate,House for sale,"207,008,510",5,5,"4,612.31","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Idea Property and Real Estate,House for sale,"140,314,304",4,4,"4,434.76","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brokered by Property Advertising,House for sale,"42,069,397",5,3,"2,750.81","Kothalawala, Colombo",Colombo,Kothalawala,Colombo,Kothalawala,,"Kothalawala, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"7,777,000",1,1,896,"Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Lakshan Rent House,House for sale,"42,545,223",5,3,"4,024.45","Malabe, Colombo",Colombo,Malabe,Colombo,Malabe,,"Malabe, Colombo"
Brokered by PK Property Solutions,House for sale,"22,826,740",4,4,"1,510.48","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brokered by Ideal Marketing,House for sale,"49,576,734",6,4,"2,149.70","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Sooriya Land Sale,Villa for sale,"125,978,017",9,6,"4,309.20","Rathmalana, Colombo",Colombo,Rathmalana,Colombo,Rathmalana,,"Rathmalana, Colombo"
Brokered by PK Property Solutions,House for sale,"301,547,774",8,6,"8,041.88","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Asitha Properties,House for sale,"132,531,357",5,5,"4,142.19","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brokered by Citadel Trading ,House for sale,"11,318,254",3,2,"1,098.02","Kesbewa, Colombo",Colombo,Kesbewa,Colombo,Kesbewa,,"Kesbewa, Colombo"
Brokered by SEV Real Estate,House for sale,"35,203,987",4,5,"1,145.85","Kolonnawa, Colombo",Colombo,Kolonnawa,Colombo,Kolonnawa,,"Kolonnawa, Colombo"
Brokered by Asitha Properties,Villa for sale,"19,937,402",6,3,"2,287.65","Colombo 8, Colombo",Colombo,Colombo 8,Colombo,Colombo 8,,"Colombo 8, Colombo"
Brokered by Dream Consultant,House for sale,"67,959,398",8,6,"4,406.30","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Dream Property,House for sale,"14,895,663",2,2,"1,205.40","Makumbura, Colombo",Colombo,Makumbura,Colombo,Makumbura,,"Makumbura, Colombo"
Brokered by Sasiri Land Sale,House for sale,"24,112,242",4,3,"2,390.17","Pannipitiya, Colombo",Colombo,Pannipitiya,Colombo,Pannipitiya,,"Pannipitiya, Colombo"
Brokered by Real Mart,House for sale,"28,827,824",4,3,"2,749.83","Kaduwela, Colombo",Colombo,Kaduwela,Colombo,Kaduwela,,"Kaduwela, Colombo"
Brokered by Mohammed Rizmi,House for sale,"39,614,484",4,4,"4,095.11","Malabe, Colombo",Colombo,Malabe,Colombo,Malabe,,"Malabe, Colombo"
Brokered by Neththaru Property,House for sale,"29,278,069",4,4,"2,304.30","Homagama, Colombo",Colombo,Homagama,Colombo,Homagama,,"Homagama, Colombo"
Brokered by S Threads Property,House for sale,"43,561,352",3,3,"1,909.18","Moratuwa, Colombo",Colombo,Moratuwa,Colombo,Moratuwa,,"Moratuwa, Colombo"
No broker,House for sale,"92,403,820",5,3,"5,867.66","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brokered by SEV Real Estate,House for sale,"110,157,852",6,5,"4,280.62","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Property Advertising,House for sale,"155,895,944",3,3,"3,647.46","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brrokered by Priyankara Kavirathna,House for sale,"29,947,522",2,1,"2,954.82","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by KP Agasthi Property,House for sale,"70,656,385",2,2,"1,574.28","Pamankada, Colombo",Colombo,Pamankada,Colombo,Pamankada,,"Pamankada, Colombo"
Brokered by S Thedas Property,House for sale,"78,625,867",3,2,"3,261.00","Kirulapona, Colombo",Colombo,Kirulapona,Colombo,Kirulapona,,"Kirulapona, Colombo"
Brokered by Mohammed Rizmi,House for sale,"8,383,964",2,2,896,"Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Platinum Property & Construction,House for sale,"19,009,513",3,3,"1,280.96","Colombo 9, Colombo",Colombo,Colombo 9,Colombo,Colombo 9,,"Colombo 9, Colombo"
Brokered by Real Mart,House for sale,"111,227,077",5,4,"3,917.73","Maharagama, Colombo",Colombo,Maharagama,Colombo,Maharagama,,"Maharagama, Colombo"
Brokered by SEV Real Estate,House for sale,"17,608,324",4,3,"2,157.80","Padukka, Colombo",Colombo,Padukka,Colombo,Padukka,,"Padukka, Colombo"
Brokered by AA Real Estate Agents,House for sale,"65,091,929",2,1,"1,450.30","Pamankada, Colombo",Colombo,Pamankada,Colombo,Pamankada,,"Pamankada, Colombo"
Brokered by Prime Lands,House for sale,"49,486,591",4,4,"2,405.92","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Platinum Property & Construction,House for sale,"25,021,290",2,2,"1,473.65","Nawala, Colombo",Colombo,Nawala,Colombo,Nawala,,"Nawala, Colombo"
Brokered by BR Property Agents Pvt Ltd,House for sale,"134,212,829",3,4,"3,039.79","Kohuwala, Colombo",Colombo,Kohuwala,Colombo,Kohuwala,,"Kohuwala, Colombo"
Brokered by Telemarketing Colombo,House for sale,"38,123,988",4,5,"3,397.09","Morakatiya, Colombo",Colombo,Morakatiya,Colombo,Morakatiya,,"Morakatiya, Colombo"
Brokered by Neththaru Property,House for sale,"63,155,175",5,4,"1,407.15","Bambalapitiya , Colombo",Colombo,Bambalapitiya ,Colombo,Bambalapitiya ,,"Bambalapitiya , Colombo"
Brokered by Platinum Property & Construction,House for sale,"62,400,272",5,3,"1,926.69","Morakatiya, Colombo",Colombo,Morakatiya,Colombo,Morakatiya,,"Morakatiya, Colombo"
Brokered by Ideal Marketing,House for sale,"88,808,565",3,4,"2,890.89","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Infinity Properties,House for sale,"43,186,365",4,3,"2,176.87","Wellampitiya, Colombo",Colombo,Wellampitiya,Colombo,Wellampitiya,,"Wellampitiya, Colombo"
Brokered by Dream Property,House for sale,"312,869,250",6,5,"9,019.70","Pamankada, Colombo",Colombo,Pamankada,Colombo,Pamankada,,"Pamankada, Colombo"
Brokered by Property Advertising,House for sale,"44,647,181",4,3,"3,875.47","Makadana, Colombo",Colombo,Makadana,Colombo,Makadana,,"Makadana, Colombo"
Brokered by Telemarketing Colombo,House for sale,"66,890,788",4,3,"2,730.96","Dehiwala, Colombo",Colombo,Dehiwala,Colombo,Dehiwala,,"Dehiwala, Colombo"
No broker,House for sale,"404,819,885",7,5,"9,019.70","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Asantha Real Estate,House for sale,"197,747,249",5,5,"4,560.57","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by SEV Real Estate,House for sale,"33,699,479",3,4,"2,463.51","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Real Mart,House for sale,"43,689,285",4,4,"2,640.53","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Dream Consultant,House for sale,"69,075,881",6,5,"4,564.72","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Property Management Company,House for sale,"130,280,066",5,5,"2,902.74","Colombo 6, Colombo",Colombo,Colombo 6,Colombo,Colombo 6,,"Colombo 6, Colombo"
Brokered by Citadel Trading ,House for sale,"61,595,954",5,4,"3,455.73","Thalawathugoda, Colombo",Colombo,Thalawathugoda,Colombo,Thalawathugoda,,"Thalawathugoda, Colombo"
Brokered by Dream Property,House for sale,"134,115,738",5,5,"5,563.20","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by Asitha Properties,House for sale,"66,866,200",4,4,"2,834.30","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Lakshan Rent House,House for sale,"32,884,629",3,3,"1,209.13","Awissawella, Colombo",Colombo,Awissawella,Colombo,Awissawella,,"Awissawella, Colombo"
Brokered by PK Property Solutions,House for sale,"62,751,983",3,3,"2,922.22","Pitakotte, Colombo",Colombo,Pitakotte,Colombo,Pitakotte,,"Pitakotte, Colombo"
Brokered by Ideal Marketing,House for sale,"261,345,840",5,5,"5,822.99","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Sell Fast | AD Zone,House for sale,"169,608,880",4,3,"3,779.02","Boralesgamuwa, Colombo",Colombo,Boralesgamuwa,Colombo,Boralesgamuwa,,"Boralesgamuwa, Colombo"
Brokered by Platinum Property & Construction,House for sale,"34,602,680",7,5,"4,240.36","Mount Lavinia, Colombo",Colombo,Mount Lavinia,Colombo,Mount Lavinia,,"Mount Lavinia, Colombo"
Brokered by S Threads Property,House for sale,"39,095,642",4,4,"2,601.58","Battaramulla, Colombo",Colombo,Battaramulla,Colombo,Battaramulla,,"Battaramulla, Colombo"
Brokered by Idea Property and Real Estate,House for sale,"18,968,530",3,2,"1,330.36","Maththegoda, Colombo",Colombo,Maththegoda,Colombo,Maththegoda,,"Maththegoda, Colombo"
Brokered by Priyankara Kavirathna,House for sale,"189,891,733",5,3,"4,230.93","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
Brokered by Dream Homes Real Estate Property,House for sale,"16,049,225",4,3,"1,342.15","Makumbura, Colombo",Colombo,Makumbura,Colombo,Makumbura,,"Makumbura, Colombo"
Brokered by Mohammed Rizmi,House for sale,"304,456,000",5,5,"6,783.52","Colombo 7, Colombo",Colombo,Colombo 7,Colombo,Colombo 7,,"Colombo 7, Colombo"
